Token Index,Starting Character Index,Stop Character Index,Text,Display Name,Line Number,Column Number
0,0,5,import,'import',1,0
1,6,6," ",WS,1,6
2,7,10,java,IDENTIFIER,1,7
3,11,11,.,'.',1,11
4,12,13,io,IDENTIFIER,1,12
5,14,14,.,'.',1,14
6,15,28,BufferedReader,IDENTIFIER,1,15
7,29,29,;,';',1,29
8,30,30,\n,WS,1,30
9,31,36,import,'import',2,0
10,37,37," ",WS,2,6
11,38,41,java,IDENTIFIER,2,7
12,42,42,.,'.',2,11
13,43,44,io,IDENTIFIER,2,12
14,45,45,.,'.',2,14
15,46,62,InputStreamReader,IDENTIFIER,2,15
16,63,63,;,';',2,32
17,64,64,\n,WS,2,33
18,65,70,import,'import',3,0
19,71,71," ",WS,3,6
20,72,75,java,IDENTIFIER,3,7
21,76,76,.,'.',3,11
22,77,80,util,IDENTIFIER,3,12
23,81,81,.,'.',3,16
24,82,90,ArrayList,IDENTIFIER,3,17
25,91,91,;,';',3,26
26,92,92,\n,WS,3,27
27,93,98,import,'import',4,0
28,99,99," ",WS,4,6
29,100,103,java,IDENTIFIER,4,7
30,104,104,.,'.',4,11
31,105,108,util,IDENTIFIER,4,12
32,109,109,.,'.',4,16
33,110,115,Arrays,IDENTIFIER,4,17
34,116,116,;,';',4,23
35,117,117,\n,WS,4,24
36,118,123,import,'import',5,0
37,124,124," ",WS,5,6
38,125,128,java,IDENTIFIER,5,7
39,129,129,.,'.',5,11
40,130,133,util,IDENTIFIER,5,12
41,134,134,.,'.',5,16
42,135,144,Comparator,IDENTIFIER,5,17
43,145,145,;,';',5,27
44,146,146,\n,WS,5,28
45,147,152,import,'import',6,0
46,153,153," ",WS,6,6
47,154,157,java,IDENTIFIER,6,7
48,158,158,.,'.',6,11
49,159,162,util,IDENTIFIER,6,12
50,163,163,.,'.',6,16
51,164,170,HashMap,IDENTIFIER,6,17
52,171,171,;,';',6,24
53,172,172,\n,WS,6,25
54,173,178,import,'import',7,0
55,179,179," ",WS,7,6
56,180,183,java,IDENTIFIER,7,7
57,184,184,.,'.',7,11
58,185,188,util,IDENTIFIER,7,12
59,189,189,.,'.',7,16
60,190,192,Map,IDENTIFIER,7,17
61,193,193,;,';',7,20
62,194,195,\n\n,WS,7,21
63,196,201,public,'public',9,0
64,202,202," ",WS,9,6
65,203,207,class,'class',9,7
66,208,208," ",WS,9,12
67,209,212,Main,IDENTIFIER,9,13
68,213,213," ",WS,9,17
69,214,214,{,'{',9,18
70,215,217,\n\n\t,WS,9,19
71,218,223,public,'public',11,1
72,224,224," ",WS,11,7
73,225,230,static,'static',11,8
74,231,231," ",WS,11,14
75,232,235,void,'void',11,15
76,236,236," ",WS,11,19
77,237,240,main,IDENTIFIER,11,20
78,241,241,(,'(',11,24
79,242,247,String,IDENTIFIER,11,25
80,248,248,[,'[',11,31
81,249,249,],']',11,32
82,250,250," ",WS,11,33
83,251,254,args,IDENTIFIER,11,34
84,255,255,),')',11,38
85,256,256," ",WS,11,39
86,257,262,throws,'throws',11,40
87,263,263," ",WS,11,46
88,264,272,Exception,IDENTIFIER,11,47
89,273,273," ",WS,11,56
90,274,274,{,'{',11,57
91,275,278,\n\n\t\t,WS,11,58
92,279,292,BufferedReader,IDENTIFIER,13,2
93,293,293," ",WS,13,16
94,294,295,br,IDENTIFIER,13,17
95,296,296," ",WS,13,19
96,297,297,=,'=',13,20
97,298,298," ",WS,13,21
98,299,301,new,'new',13,22
99,302,302," ",WS,13,25
100,303,316,BufferedReader,IDENTIFIER,13,26
101,317,317,(,'(',13,40
102,318,320,new,'new',13,41
103,321,321," ",WS,13,44
104,322,338,InputStreamReader,IDENTIFIER,13,45
105,339,339,(,'(',13,62
106,340,345,System,IDENTIFIER,13,63
107,346,346,.,'.',13,69
108,347,348,in,IDENTIFIER,13,70
109,349,349,),')',13,72
110,350,350,),')',13,73
111,351,351,;,';',13,74
112,352,355,\n\n\t\t,WS,13,75
113,356,361,String,IDENTIFIER,15,2
114,362,362," ",WS,15,8
115,363,370,readLine,IDENTIFIER,15,9
116,371,371," ",WS,15,17
117,372,372,=,'=',15,18
118,373,373," ",WS,15,19
119,374,377,null,'null',15,20
120,378,378,;,';',15,24
121,379,382,\n\n\t\t,WS,15,25
122,383,385,Map,IDENTIFIER,17,2
123,386,386,<,'<',17,5
124,387,392,String,IDENTIFIER,17,6
125,393,393,",","','",17,12
126,394,394," ",WS,17,13
127,395,403,BookIndex,IDENTIFIER,17,14
128,404,404,>,'>',17,23
129,405,405," ",WS,17,24
130,406,410,books,IDENTIFIER,17,25
131,411,411," ",WS,17,30
132,412,412,=,'=',17,31
133,413,413," ",WS,17,32
134,414,416,new,'new',17,33
135,417,417," ",WS,17,36
136,418,424,HashMap,IDENTIFIER,17,37
137,425,425,<,'<',17,44
138,426,431,String,IDENTIFIER,17,45
139,432,432,",","','",17,51
140,433,433," ",WS,17,52
141,434,442,BookIndex,IDENTIFIER,17,53
142,443,443,>,'>',17,62
143,444,444,(,'(',17,63
144,445,445,),')',17,64
145,446,446,;,';',17,65
146,447,450,\n\n\t\t,WS,17,66
147,451,455,while,'while',19,2
148,456,456," ",WS,19,7
149,457,457,(,'(',19,8
150,458,458,(,'(',19,9
151,459,466,readLine,IDENTIFIER,19,10
152,467,467," ",WS,19,18
153,468,468,=,'=',19,19
154,469,469," ",WS,19,20
155,470,471,br,IDENTIFIER,19,21
156,472,472,.,'.',19,23
157,473,480,readLine,IDENTIFIER,19,24
158,481,481,(,'(',19,32
159,482,482,),')',19,33
160,483,483,),')',19,34
161,484,484," ",WS,19,35
162,485,486,"!=",'!=',19,36
163,487,487," ",WS,19,38
164,488,491,null,'null',19,39
165,492,492,),')',19,43
166,493,493," ",WS,19,44
167,494,494,{,'{',19,45
168,495,499,\n\n\t\t\t,WS,19,46
169,500,505,String,IDENTIFIER,21,3
170,506,506,[,'[',21,9
171,507,507,],']',21,10
172,508,508," ",WS,21,11
173,509,513,split,IDENTIFIER,21,12
174,514,514," ",WS,21,17
175,515,515,=,'=',21,18
176,516,516," ",WS,21,19
177,517,524,readLine,IDENTIFIER,21,20
178,525,525,.,'.',21,28
179,526,530,split,IDENTIFIER,21,29
180,531,531,(,'(',21,34
181,532,534,""" """,STRING_LITERAL,21,35
182,535,535,),')',21,38
183,536,536,;,';',21,39
184,537,540,\n\t\t\t,WS,21,40
185,541,546,String,IDENTIFIER,22,3
186,547,547," ",WS,22,9
187,548,551,name,IDENTIFIER,22,10
188,552,552," ",WS,22,14
189,553,553,=,'=',22,15
190,554,554," ",WS,22,16
191,555,559,split,IDENTIFIER,22,17
192,560,560,[,'[',22,22
193,561,561,0,DECIMAL_LITERAL,22,23
194,562,562,],']',22,24
195,563,563,;,';',22,25
196,564,567,\n\t\t\t,WS,22,26
197,568,570,int,'int',23,3
198,571,571," ",WS,23,6
199,572,575,page,IDENTIFIER,23,7
200,576,576," ",WS,23,11
201,577,577,=,'=',23,12
202,578,578," ",WS,23,13
203,579,585,Integer,IDENTIFIER,23,14
204,586,586,.,'.',23,21
205,587,594,parseInt,IDENTIFIER,23,22
206,595,595,(,'(',23,30
207,596,600,split,IDENTIFIER,23,31
208,601,601,[,'[',23,36
209,602,602,1,DECIMAL_LITERAL,23,37
210,603,603,],']',23,38
211,604,604,),')',23,39
212,605,605,;,';',23,40
213,606,610,\n\n\t\t\t,WS,23,41
214,611,612,if,'if',25,3
215,613,613," ",WS,25,5
216,614,614,(,'(',25,6
217,615,619,books,IDENTIFIER,25,7
218,620,620,.,'.',25,12
219,621,631,containsKey,IDENTIFIER,25,13
220,632,632,(,'(',25,24
221,633,637,split,IDENTIFIER,25,25
222,638,638,[,'[',25,30
223,639,639,0,DECIMAL_LITERAL,25,31
224,640,640,],']',25,32
225,641,641,),')',25,33
226,642,642,),')',25,34
227,643,643," ",WS,25,35
228,644,644,{,'{',25,36
229,645,649,\n\t\t\t\t,WS,25,37
230,650,658,BookIndex,IDENTIFIER,26,4
231,659,659," ",WS,26,13
232,660,662,idx,IDENTIFIER,26,14
233,663,663," ",WS,26,17
234,664,664,=,'=',26,18
235,665,665," ",WS,26,19
236,666,670,books,IDENTIFIER,26,20
237,671,671,.,'.',26,25
238,672,674,get,IDENTIFIER,26,26
239,675,675,(,'(',26,29
240,676,679,name,IDENTIFIER,26,30
241,680,680,),')',26,34
242,681,681,;,';',26,35
243,682,686,\n\t\t\t\t,WS,26,36
244,687,689,idx,IDENTIFIER,27,4
245,690,690,.,'.',27,7
246,691,698,pageList,IDENTIFIER,27,8
247,699,699,.,'.',27,16
248,700,702,add,IDENTIFIER,27,17
249,703,703,(,'(',27,20
250,704,707,page,IDENTIFIER,27,21
251,708,708,),')',27,25
252,709,709,;,';',27,26
253,710,713,\n\t\t\t,WS,27,27
254,714,714,},'}',28,3
255,715,715," ",WS,28,4
256,716,719,else,'else',28,5
257,720,720," ",WS,28,9
258,721,721,{,'{',28,10
259,722,726,\n\t\t\t\t,WS,28,11
260,727,735,BookIndex,IDENTIFIER,29,4
261,736,736," ",WS,29,13
262,737,739,idx,IDENTIFIER,29,14
263,740,740," ",WS,29,17
264,741,741,=,'=',29,18
265,742,742," ",WS,29,19
266,743,745,new,'new',29,20
267,746,746," ",WS,29,23
268,747,750,Main,IDENTIFIER,29,24
269,751,751,(,'(',29,28
270,752,752,),')',29,29
271,753,753,.,'.',29,30
272,754,756,new,'new',29,31
273,757,757," ",WS,29,34
274,758,766,BookIndex,IDENTIFIER,29,35
275,767,767,(,'(',29,44
276,768,771,name,IDENTIFIER,29,45
277,772,772,),')',29,49
278,773,773,;,';',29,50
279,774,778,\n\t\t\t\t,WS,29,51
280,779,781,idx,IDENTIFIER,30,4
281,782,782,.,'.',30,7
282,783,790,pageList,IDENTIFIER,30,8
283,791,791,.,'.',30,16
284,792,794,add,IDENTIFIER,30,17
285,795,795,(,'(',30,20
286,796,799,page,IDENTIFIER,30,21
287,800,800,),')',30,25
288,801,801,;,';',30,26
289,802,806,\n\t\t\t\t,WS,30,27
290,807,811,books,IDENTIFIER,31,4
291,812,812,.,'.',31,9
292,813,815,put,IDENTIFIER,31,10
293,816,816,(,'(',31,13
294,817,820,name,IDENTIFIER,31,14
295,821,821,",","','",31,18
296,822,822," ",WS,31,19
297,823,825,idx,IDENTIFIER,31,20
298,826,826,),')',31,23
299,827,827,;,';',31,24
300,828,831,\n\t\t\t,WS,31,25
301,832,832,},'}',32,3
302,833,835,\n\t\t,WS,32,4
303,836,836,},'}',33,2
304,837,839,\n\t\t,WS,33,3
305,840,845,Object,IDENTIFIER,34,2
306,846,846,[,'[',34,8
307,847,847,],']',34,9
308,848,848," ",WS,34,10
309,849,852,keys,IDENTIFIER,34,11
310,853,853," ",WS,34,15
311,854,854,=,'=',34,16
312,855,855," ",WS,34,17
313,856,860,books,IDENTIFIER,34,18
314,861,861,.,'.',34,23
315,862,867,keySet,IDENTIFIER,34,24
316,868,868,(,'(',34,30
317,869,869,),')',34,31
318,870,870,.,'.',34,32
319,871,877,toArray,IDENTIFIER,34,33
320,878,878,(,'(',34,40
321,879,879,),')',34,41
322,880,880,;,';',34,42
323,881,883,\n\t\t,WS,34,43
324,884,889,Arrays,IDENTIFIER,35,2
325,890,890,.,'.',35,8
326,891,894,sort,IDENTIFIER,35,9
327,895,895,(,'(',35,13
328,896,899,keys,IDENTIFIER,35,14
329,900,900,),')',35,18
330,901,901,;,';',35,19
331,902,904,\n\t\t,WS,35,20
332,905,907,for,'for',36,2
333,908,908," ",WS,36,5
334,909,909,(,'(',36,6
335,910,915,Object,IDENTIFIER,36,7
336,916,916," ",WS,36,13
337,917,919,key,IDENTIFIER,36,14
338,920,920," ",WS,36,17
339,921,921,:,':',36,18
340,922,922," ",WS,36,19
341,923,926,keys,IDENTIFIER,36,20
342,927,927,),')',36,24
343,928,928," ",WS,36,25
344,929,929,{,'{',36,26
345,930,933,\n\t\t\t,WS,36,27
346,934,939,System,IDENTIFIER,37,3
347,940,940,.,'.',37,9
348,941,943,out,IDENTIFIER,37,10
349,944,944,.,'.',37,13
350,945,951,println,IDENTIFIER,37,14
351,952,952,(,'(',37,21
352,953,955,key,IDENTIFIER,37,22
353,956,956,),')',37,25
354,957,957,;,';',37,26
355,958,961,\n\t\t\t,WS,37,27
356,962,970,BookIndex,IDENTIFIER,38,3
357,971,971," ",WS,38,12
358,972,974,idx,IDENTIFIER,38,13
359,975,975," ",WS,38,16
360,976,976,=,'=',38,17
361,977,977," ",WS,38,18
362,978,982,books,IDENTIFIER,38,19
363,983,983,.,'.',38,24
364,984,986,get,IDENTIFIER,38,25
365,987,987,(,'(',38,28
366,988,990,key,IDENTIFIER,38,29
367,991,991,),')',38,32
368,992,992,;,';',38,33
369,993,996,\n\t\t\t,WS,38,34
370,997,999,idx,IDENTIFIER,39,3
371,1000,1000,.,'.',39,6
372,1001,1008,pageList,IDENTIFIER,39,7
373,1009,1009,.,'.',39,15
374,1010,1013,sort,IDENTIFIER,39,16
375,1014,1014,(,'(',39,20
376,1015,1017,new,'new',39,21
377,1018,1018," ",WS,39,24
378,1019,1028,Comparator,IDENTIFIER,39,25
379,1029,1029,<,'<',39,35
380,1030,1036,Integer,IDENTIFIER,39,36
381,1037,1037,>,'>',39,43
382,1038,1038,(,'(',39,44
383,1039,1039,),')',39,45
384,1040,1040," ",WS,39,46
385,1041,1041,{,'{',39,47
386,1042,1047,\n\n\t\t\t\t,WS,39,48
387,1048,1048,@,'@',41,4
388,1049,1056,Override,IDENTIFIER,41,5
389,1057,1061,\n\t\t\t\t,WS,41,13
390,1062,1067,public,'public',42,4
391,1068,1068," ",WS,42,10
392,1069,1071,int,'int',42,11
393,1072,1072," ",WS,42,14
394,1073,1079,compare,IDENTIFIER,42,15
395,1080,1080,(,'(',42,22
396,1081,1087,Integer,IDENTIFIER,42,23
397,1088,1088," ",WS,42,30
398,1089,1090,o1,IDENTIFIER,42,31
399,1091,1091,",","','",42,33
400,1092,1092," ",WS,42,34
401,1093,1099,Integer,IDENTIFIER,42,35
402,1100,1100," ",WS,42,42
403,1101,1102,o2,IDENTIFIER,42,43
404,1103,1103,),')',42,45
405,1104,1104," ",WS,42,46
406,1105,1105,{,'{',42,47
407,1106,1111,\n\t\t\t\t\t,WS,42,48
408,1112,1117,return,'return',43,5
409,1118,1118," ",WS,43,11
410,1119,1120,o1,IDENTIFIER,43,12
411,1121,1121," ",WS,43,14
412,1122,1122,-,'-',43,15
413,1123,1123," ",WS,43,16
414,1124,1125,o2,IDENTIFIER,43,17
415,1126,1126,;,';',43,19
416,1127,1131,\n\t\t\t\t,WS,43,20
417,1132,1132,},'}',44,4
418,1133,1136,\n\t\t\t,WS,44,5
419,1137,1137,},'}',45,3
420,1138,1138,),')',45,4
421,1139,1139,;,';',45,5
422,1140,1143,\n\t\t\t,WS,45,6
423,1144,1146,for,'for',46,3
424,1147,1147," ",WS,46,6
425,1148,1148,(,'(',46,7
426,1149,1151,int,'int',46,8
427,1152,1152," ",WS,46,11
428,1153,1159,pageIdx,IDENTIFIER,46,12
429,1160,1160," ",WS,46,19
430,1161,1161,=,'=',46,20
431,1162,1162," ",WS,46,21
432,1163,1163,0,DECIMAL_LITERAL,46,22
433,1164,1164,;,';',46,23
434,1165,1165," ",WS,46,24
435,1166,1172,pageIdx,IDENTIFIER,46,25
436,1173,1173," ",WS,46,32
437,1174,1174,<,'<',46,33
438,1175,1175," ",WS,46,34
439,1176,1178,idx,IDENTIFIER,46,35
440,1179,1179,.,'.',46,38
441,1180,1187,pageList,IDENTIFIER,46,39
442,1188,1188,.,'.',46,47
443,1189,1192,size,IDENTIFIER,46,48
444,1193,1193,(,'(',46,52
445,1194,1194,),')',46,53
446,1195,1195,;,';',46,54
447,1196,1196," ",WS,46,55
448,1197,1203,pageIdx,IDENTIFIER,46,56
449,1204,1204," ",WS,46,63
450,1205,1206,++,'++',46,64
451,1207,1207,),')',46,66
452,1208,1208," ",WS,46,67
453,1209,1209,{,'{',46,68
454,1210,1214,\n\t\t\t\t,WS,46,69
455,1215,1216,if,'if',47,4
456,1217,1217," ",WS,47,6
457,1218,1218,(,'(',47,7
458,1219,1225,pageIdx,IDENTIFIER,47,8
459,1226,1226," ",WS,47,15
460,1227,1228,"!=",'!=',47,16
461,1229,1229," ",WS,47,18
462,1230,1230,0,DECIMAL_LITERAL,47,19
463,1231,1231,),')',47,20
464,1232,1232," ",WS,47,21
465,1233,1233,{,'{',47,22
466,1234,1239,\n\t\t\t\t\t,WS,47,23
467,1240,1245,System,IDENTIFIER,48,5
468,1246,1246,.,'.',48,11
469,1247,1249,out,IDENTIFIER,48,12
470,1250,1250,.,'.',48,15
471,1251,1255,print,IDENTIFIER,48,16
472,1256,1256,(,'(',48,21
473,1257,1259,""" """,STRING_LITERAL,48,22
474,1260,1260,),')',48,25
475,1261,1261,;,';',48,26
476,1262,1266,\n\t\t\t\t,WS,48,27
477,1267,1267,},'}',49,4
478,1268,1272,\n\t\t\t\t,WS,49,5
479,1273,1278,System,IDENTIFIER,50,4
480,1279,1279,.,'.',50,10
481,1280,1282,out,IDENTIFIER,50,11
482,1283,1283,.,'.',50,14
483,1284,1288,print,IDENTIFIER,50,15
484,1289,1289,(,'(',50,20
485,1290,1292,idx,IDENTIFIER,50,21
486,1293,1293,.,'.',50,24
487,1294,1301,pageList,IDENTIFIER,50,25
488,1302,1302,.,'.',50,33
489,1303,1305,get,IDENTIFIER,50,34
490,1306,1306,(,'(',50,37
491,1307,1313,pageIdx,IDENTIFIER,50,38
492,1314,1314,),')',50,45
493,1315,1315,),')',50,46
494,1316,1316,;,';',50,47
495,1317,1320,\n\t\t\t,WS,50,48
496,1321,1321,},'}',51,3
497,1322,1325,\n\t\t\t,WS,51,4
498,1326,1331,System,IDENTIFIER,52,3
499,1332,1332,.,'.',52,9
500,1333,1335,out,IDENTIFIER,52,10
501,1336,1336,.,'.',52,13
502,1337,1343,println,IDENTIFIER,52,14
503,1344,1344,(,'(',52,21
504,1345,1346,"""""",STRING_LITERAL,52,22
505,1347,1347,),')',52,24
506,1348,1348,;,';',52,25
507,1349,1351,\n\t\t,WS,52,26
508,1352,1352,},'}',53,2
509,1353,1354,\n\t,WS,53,3
510,1355,1355,},'}',54,1
511,1356,1358,\n\n\t,WS,54,2
512,1359,1364,public,'public',56,1
513,1365,1365," ",WS,56,7
514,1366,1370,class,'class',56,8
515,1371,1371," ",WS,56,13
516,1372,1380,BookIndex,IDENTIFIER,56,14
517,1381,1381," ",WS,56,23
518,1382,1382,{,'{',56,24
519,1383,1385,\n\t\t,WS,56,25
520,1386,1391,public,'public',57,2
521,1392,1392," ",WS,57,8
522,1393,1398,String,IDENTIFIER,57,9
523,1399,1399," ",WS,57,15
524,1400,1403,name,IDENTIFIER,57,16
525,1404,1404," ",WS,57,20
526,1405,1405,=,'=',57,21
527,1406,1406," ",WS,57,22
528,1407,1410,null,'null',57,23
529,1411,1411,;,';',57,27
530,1412,1414,\n\t\t,WS,57,28
531,1415,1420,public,'public',58,2
532,1421,1421," ",WS,58,8
533,1422,1430,ArrayList,IDENTIFIER,58,9
534,1431,1431,<,'<',58,18
535,1432,1438,Integer,IDENTIFIER,58,19
536,1439,1439,>,'>',58,26
537,1440,1440," ",WS,58,27
538,1441,1448,pageList,IDENTIFIER,58,28
539,1449,1449," ",WS,58,36
540,1450,1450,=,'=',58,37
541,1451,1451," ",WS,58,38
542,1452,1454,new,'new',58,39
543,1455,1455," ",WS,58,42
544,1456,1464,ArrayList,IDENTIFIER,58,43
545,1465,1465,<,'<',58,52
546,1466,1472,Integer,IDENTIFIER,58,53
547,1473,1473,>,'>',58,60
548,1474,1474,(,'(',58,61
549,1475,1475,),')',58,62
550,1476,1476,;,';',58,63
551,1477,1479,\n\t\t,WS,58,64
552,1480,1485,public,'public',59,2
553,1486,1486," ",WS,59,8
554,1487,1495,BookIndex,IDENTIFIER,59,9
555,1496,1496,(,'(',59,18
556,1497,1502,String,IDENTIFIER,59,19
557,1503,1503," ",WS,59,25
558,1504,1507,name,IDENTIFIER,59,26
559,1508,1508,),')',59,30
560,1509,1509," ",WS,59,31
561,1510,1510,{,'{',59,32
562,1511,1514,\n\t\t\t,WS,59,33
563,1515,1518,this,'this',60,3
564,1519,1519,.,'.',60,7
565,1520,1523,name,IDENTIFIER,60,8
566,1524,1524," ",WS,60,12
567,1525,1525,=,'=',60,13
568,1526,1526," ",WS,60,14
569,1527,1530,name,IDENTIFIER,60,15
570,1531,1531,;,';',60,19
571,1532,1534,\n\t\t,WS,60,20
572,1535,1535,},'}',61,2
573,1536,1537,\n\t,WS,61,3
574,1538,1538,},'}',62,1
575,1539,1539,\n,WS,62,2
576,1540,1540,},'}',63,0
577,1541,1540,<EOF>,EOF,63,1
